nama_makanan,air,energi,protein,lemak,karbo,serat,abu,kalsium,fosfor,besi,natrium,kalium,tembaga,seng,retinol,b_kar,kar_total,thiamin,riboflavin,niasin,vit_c,bdd,kategori,jenis_bahan,id_resep,bahan_bahan,langkah
Mie bakso,74.5,114,5.3,3.0,16.4,0.1,0.8,286,53,1.9,760,-,-,-,17,-,180,0.16,-,-,0,100,serealia,olahan,44,"Hasil: 5 porsi
1/2 ekor ayam bisa tambah ceker sesuai selera
800 ml air (4 gelas)
Bumbu tumis:
1 buah bawang bombay uk.sedang,cincang halus
6 butir bawang merah,iris halus
4 siung bawang putih,cincang halus
2 cm lengkuas,geprek
2 cm jahe,geprek
1 cm kunyit,haluskan
1 sdt ketumbar,haluskan
1/2 ruas kelingking pala,haluskan
4 lembar daun jeruk
2 lembar daun salam
3-4 sdm minyak untuk menumis
Bumbu penyedap:
1/2 sdt lada bubuk
Secukupnya garam (saya 1 sdt)
2 sdt gula pasir
5 sdm kecap manis
1 sdm kecap asin
1 sdm saos tiram
2 sdm minyak wijen
Pelengkap:
5 porsi mie basah,rebus sebentar
1 ikat caesim,rebus sebentar
Saos sambal
Sambal rawit
Kripik pangsit
Bawang goreng
Daun bawang
Minyak bawang putih:
50 gram bawang putih
100 ml minyak goreng
1/2 sdt garam","1. Buat minyak bawangnya dulu ya.kupas,geprek dan cincang bawang putih hingga halus.usahakan ukuranya sama supaya matangnya merata.panaskan minyak,tumis bawang putih dengan api kecil sambil terus diaduk hingga berwarna kuning.matikan api,masukan garam,aduk rata.biarkan dingin pindahkan ke botol/wadah tertutup.minyak bawang siap digunakan
2. Topping mie ayam:Cuci bersih lalu rebus ayam + ceker sebentar hingga keluar lemak2 dan airnya keruh.angkat dan bilas.pisahkan daging ayam dari tulangnya.potong2 daging ayamnya
3. Didihkan 4 gelas air,rebus tulang dan ceker ayam 15 menit dengan api kecil supaya keluar kaldu dan airnya tidak cepat asat
4. Sambil menunggu tulang ayam dan ceker direbus siapkan bumbu2 tumis lalu tumis hingga harum
5. Masukan daging ayam,aduk rata.masukan tulang dan ceker ayam beserta air kaldunya
6. Masukan bumbu penyedap,aduk rata.masak hingga bumbu meresap.test rasa lalu angkat
7. Penyajian:di mangkuk tuang secukupnya minyak bawang,masukan mie rebus,aduk rata.tambahkan topping ayam dan pelengkap lainya
8. Sajikan
9. Untuk sambal rawit cukup pake cabe rawit dan bawang putih yang direbus lalu blender/uleg dengan sedikit garam dan gula pasir"
Mie celon,75.9,102,3.0,2.1,17.8,-,1.2,12,84,1.4,451,112.0,0.10,0.5,0,0,-,0.00,0.00,0.0,0,100,serealia,olahan,45,"Hasil: 5 Porsi
Daging sapi giling - 500 gram
Tepung tapioka - 5 sdm
Putih telur - 2 butir
Bawang putih, goreng lalu haluskan - 6 siung
Garam - 1 sdm
Lada bubuk - 1/2 sdt
Air es - 80 ml
KUAH:
Bawang putih, goreng lalu haluskan - 7 siung
Garam - 1 sdm
Lada bubuk - 1/2 sdm
Air - 2 liter
PELENGKAP:
Mie kering, rebus lalu tiriskan - secukupnya
Caisim, seduh air panas lalu tiriskan - secukupnya
Bawang goreng - secukupnya
Seledri, iris - secukupnya
","1. Masukkan semua bahan bakso ke dalam food processor atau blender. Proses hingga adonan halus. Sisihkan.
2. Dalam panci, didihkan air. Kemudian gunakan api kecil.
3. Ambil adonan bakso. Bulat-bulatkan dengan tangan atau dengan bantuan dua buah sendok. Masukkan bakso dalam air mendidih. Lakukan hingga adonan habis.
4. Biarkan bakso hingga matang dan mengapung. Angkat dan tiriskan. Sisihkan.
5. Ambil air rebusan bakso dan campurkan dengan bahan kuah lainnya. Aduk rata dan didihkan. Koreksi rasanya lalu matikan api.
6. Siapkan mangkuk saji. Beri mie, caisim, dan beberapa butir bakso. Siram dengan kuah bakso. Beri taburan bawang goreng dan seledri.
7. Siap disajikan."
Mie pangsit basah,79.2,105,5.9,4.9,9.4,-,0.7,208,48,2.0,530,-,-,-,25,-,620,0.46,-,-,0,100,serealia,olahan,46,"Hasil: 3 porsi
Mie kuning basah - 300 gram
Udang segar - 250 gram
Santan sedang - 250 ml
Kaldu udang - 850 ml
Telur, kocok lepas - 1 butir
Tepung terigu, larutkan dengan 50 ml air - 2 sdm
Garam - 1 sdt
Gula pasir - 1 sdt
Merica halus - 1/2 sdt
Jeruk nipis, peras airnya - 1 butir
Air panas - secukupnya
BUMBU HALUS:
Bawang merah - 6 butir
Bawang putih - 3 siung
Kemiri, sangrai - 2 butir
Ebi, kupas kulitnya - 1 sdm
PELENGKAP:
Telur rebus - secukupnya
Irisan daun bawang - secukupnya
Bawang merah goreng - secukupnya","1. Seduh mie kuning dengan air panas lalu tiriskan. Sisihkan.

2. Kupas udang lalu sisihkan kepala dan kulitnya. Belah punggung udang dan buang kotoran hitamnya. Cuci bersih udang lalu kucuri dengan air jeruk nipis. Diamkan beberapa saat dan sisihkan.

3. Ambil kepala dan kulit udang. Cuci bersih lalu rebus dengan air untuk diambil kaldunya. Sisihkan.

4. Ambil 3/4 bagian udang lalu cincang kasar. Biarkan utuh 1/4 sisanya. Sisihkan.

5. Panaskan minyak. Tumis bumbu halus hingga harum.

6. Masukkan udang cincang. Aduk hingga berubah warna.

7. Tuang kaldu dan santan. Aduk-aduk terus dan masak hingga mendidih.

8. Masukkan udang utuh.

9. Tuang telur sambil diaduk agar telur jadi berserabut.

10. Bumbui dengan garam, gula, dan merica. Aduk rata dan koreksi rasanya.

11. Tuang larutan terigu. Aduk lalu masak hingga mendidih kembali dan kuah jadi sedikit mengental. Angkat.

12. Tata mie kuning di piring saji. Siram dengan kuah dan beri bahan pelengkap.

13. Siap disajikan."
Nasi gemuk,61.4,192,3.8,8.8,24.4,0.7,1.6,15,74,1.0,355,63.0,0.20,1.4,0,0,-,0.19,0.05,2.0,0,100,serealia,olahan,47,"Hasil: 4 porsi
Mie basah, rebus sebentar lalu tiriskan - 150 gram
Dada ayam fillet, cincang - 250 gram
Bakso, rebus sebentar lalu tiriskan - 8 butir
Caisin, potong-potong lalu blansir dan tiriskan - 1 ikat
Minyak ayam atau bawang - 2 sdm
Kecap asin - 2 sdm
Daun bawang, iris tipis - 1 ikat
Bawang goreng - 1 sdm
TOPPING TUMISAN AYAM:
Bawang putih, cincang - 4 siung
Bawang bombai, cincang - 1/2 butir
Saus tiram - 1 sdm
Kecap asin - 1 sdm
Kecap ikan - 1 sdm
Kecap manis - 2 sdm
Lada halus - 1/2 sdt
Kaldu bubuk - 1 sdt
Garam - 1 sdt
Gula pasir - 1 sdm
Air - 100 ml
Minyak, untuk menumis - 3 sdm
PANGSIT:
Kulit pangsit - 16 lembar
Daging ayam, cincang - 50 gram
Udang, kupas lalu cincang - 25 gram
Tepung tapioka / kaji - 1/2 sdm
Daun bawang, iris tipis - 1 batang
Bawang putih, cincang - 1 siung
Kecap asin - 1/2 sdt
Minyak wijen - 1/2 sdt
Saus tiram - 1/2 sdt
KUAH:
Kaldu ayam - 1,5 liter
Bawang putih, haluskan - 1 siung
Lada - 1/2 sdt
Garam - 1 sdm
Penyedap rasa - 1 sdt
Daun bawang, iris tipis - 1 sdm
","CARA MEMBUAT TOPPING TUMISAN AYAM
1. Panaskan minyak. Tumis bawang putih dan bombai hingga harum dan layu.

2. Masukkan saus tiram, kecap asin, kecap ikan, kecap manis, dan lada. Aduk rata.

3. Masukkan ayam. Aduk rata dan masak hingga berubah warna.

4. Tuang air. Masukkan kaldu bubuk, gula, dan garam. Aduk rata. Masak hingga matang dan bumbu meresap. Angkat.

5. Siap digunakan.

CARA MEMBUAT PANGSIT
1. Dalam wadah, campur semua bahan (kecuali kulit pangsit) dan aduk hingga rata.

2. Ambil selembar kulit pangsit, isi dengan 1 sdt adonan. Tutup dan rekatnya.

3. Didihkan air dalam panci. Rebus 4 buah pangsit hingga mengapung. Angkat dan tiriskan.

4. Panaskan banyak minyak dalam wajan. Goreng 4 buah pangsit dengan api kecil hingga kuning kecoklatan. Angkat dan tiriskan.

5. Siap digunakan.

CARA MEMBUAT KUAH
1. Dalam panci, campur semua bahan dan rebus hingga mendidih. Koreksi rasanya. Matikan api.

2. Siap digunakan.

PENYAJIAN
1. Dalam mangkok, beri 1/2 sdm minyak ayam/bawang, 1/2 sdm kecap asin, dan bawang goreng. Aduk rata.

2. Tambahkan mie basah dan caisin. Aduk rata hingga tercampur dengan bumbu.

3. Beri topping tumisan ayam, bakso, pangsit basah, dan pangsit goreng.

4. Beri taburan daun bawang dan bawang goreng.

5. Siram dengan kuah.

6. Siap disajikan."
Nasi gurih,60.5,190,4.7,7.5,26.0,0.7,1.3,12,62,0.8,296,52.0,0.20,1.2,0,0,-,0.11,0.06,2.1,0,100,serealia,olahan,48,"Hasil: 8 porsi
NASI GEMUK:
Beras - 1 liter
Santan dari 1/2 butir kelapa - 600 ml
Daun salam - 2 lembar
Serai, memarkan - 1 batang
Daun pandan simpulkan - 1 lembar
Daun jeruk - 2 lembar
Jahe, geprek - 2 cm
Garam - 1 sdt
SAMBAL TERASI:
Cabe keriting - 5 buah
Cabe rawit merah - 5 buah
Cabe merah besar - 3 buah
Terasi bubuk - 1 sdt
Bawang putih - 2 siung
Bawang merah - 4 siung
Tomat ukuran kecil - 1 buah
Gula - 1/4 sdt
Garam - 1/2 sdt
TELUR DADAR:
Telur - 2 butir
Kaldu jamur - 1/4 sdt
AYAM UNGKEP:
Ayam, ukuran kecil @1400 gram - 2 ekor
Daun jeruk - 3 lembar
Serai, memarkan - 3 batang
Daun salam - 3 lembar
Air - 500 ml
Minyak untuk menggoreng - secukupnya
BUMBU:
Bawang putih - 5 siung
Bawang merah - 3 siung
Kemiri - 5 butir
Ketumbar - 1 sdm
Lengkuas - 4 cm
Jahe - 4 cm
Kunyit - 5 cm
Garam - 2 sdt
PELENGKAP:
Kerupuk udang - 100 gram
Teri jengki ukuran sedang, diseduh dan digoreng - 100 gram
Kacang goreng - 5 sdm
Timun, iris tipis - 2 buah
Ayam ungkep goreng - 8 potong
Bawang goreng - 2 sdm
","1. Nasi: Masukan beras yang sudah dicuci bersih ke dalam rice cooker. Masukan santan, daun salam, daun jeruk, daun pandan, serai dan garam. Masak hingga nasi matang.

2. Dalam wajan panas, goreng ikan teri jengki sampai sedikit kecoklatan dan kering. Angkat ikan teri. Kurangi minyaknya untuk digunakan saat menggoreng telur.

3. Telur dadar: Kocok lepas telur dan garam. Tuang di wajan datar yang telah dipanaskan tuang telur dengan tebal sekitar ½ cm, biarkan matang rata. Kemudian gulung telur lalu iris-iris tipis.

4. Sambal terasi: Panaskan minyak goreng, kemudian goreng bahan sambal (kecuali terasi) hingga layu saja. Kemudian haluskan semua bahan sambal, termasuk terasi. Setelah itu tumis semua sambal dengan sedikit minyak. Sisihkan.

5. Ayam ungkep: Potong masing-masing ayam menjadi 4 bagian, lalu cuci bersih dan tiriskan. Haluskan semua bumbu, setelah halus masukan dalam wajan berisi sedikit air. Masukkan ayam lalu aduk rata. Masak hingga daging ayam berubah warna putih pucat lalu tuang sisa air, tutup panci. Masak dengan api lilin selama 20 menit atau hingga mendidih dan mulai air menyusut.

Buka panci dan tetap masak dengan api kecil selama 30 menit atau hingga air menyusut. Angkat, diamkan hingga panas ayam hilang dan dingin suhu ruang. Panaskan minyak untuk menggoreng. Goreng ayam hingga kecoklatan. Angkat dan tiriskan. Goreng remah-remah bumbu di atas api sedang hingga kering dan renyah, angkat, tiriskan.

6. Sajikan nasi gemuk dengan, ayam goreng, ikan teri, telur dadar,sambal terasi, timun, bawang goreng, kacang tanah dan kerupuk udang."
Nasi minyak,53.3,207,3.5,5.0,37.1,0.8,1.1,26,100,1.5,74,174.0,0.20,2.2,0,0,-,0.14,0.07,2.6,0,100,serealia,olahan,49,"Hasil: 4 porsi
300 g beras, cuci bersih
50 g beras ketan, rendam 30 menit, tiriskan
400 ml santan encer
1 lembar daun salam
1 batang serai, memarkan
1.25 sdt Royco Kaldu Ayam
1 lembar daun salam, simpulkan","1. Aduk rata beras dan beras ketan di dalam wadah.
2. Kukus hingga setengah matang. Angkat. Sisihkan
3. Di dalam panci, didihkan sisa bahan dan Royco Kaldu Ayam.
4. Setelah mendidih, masukkan beras yang telah dikukus.
5. Masak hingga matang. Angkat.
6. Sajikan beserta dengan lauk pauk."
Nasi rames,65.8,155,10.3,4.2,19.1,-,0.6,239,62,1.8,265,-,-,-,96,-,3140,0.59,0.00,-,-,100,serealia,olahan,50,"Hasil: 1 Periuk
1 kg beras basmati
2-3 batang kayu manis
1 bungkus atau sekitar 150 gram minyak samin
4-5 SDM margarine
6-8 siung bawang merah
5-6 siung bawang putih
1 ruas agak besar jahe
5 buah pekak
10 buah cengkeh
1/2 Pala
6 buah kapulaga
1 bungkus bumbu halus nasi minyak warna merah
1 kaleng susu evaporasi atau bisa SKM
1 buah nanas
2 buah tomat besar (boleh ganti saos tomat)
2 SDM garam halus
1 mangkuk kecil kismis
1 mangkuk kecil kacang mede
1-1,5 liter air","1. Siapkan bahan.
2. Cuci bersih beras basmati, lalu rendam sekitar 30-45 menit (lihat resep)
3. Kupas jahe, bawang merah dan bawang putih, lalu haluskan. Bawang bombay diiris. Bumbu rempah biarkan utuh (lihat resep)
4. Nanas separuh saja kita cincang kasar atau boleh juga diblender. Tomat dicuci bersih juga diblender
5. Panaskan wajan, masukkan 4-5 SDM margarine. Lalu masukkan minyak samin, 3/4 nya saja (sisakan untuk ditarok di nasi yang hampir mengering di periuk nanti)
6. Masukkan bawang bombay, tumis sampai layu dan harum. Masukkan rempah (kayu manis, kapolaga, cengkeh, pekak, pala). Lanjut tumis
7. Masukkan bumbu segar yang telah dihaluskan (jahe, bawang merah dan bawang Putih) tadi. Tumis sampai bumbu tanak
Nasi Minyak Samin Khas Palembang Periuk/Liwet Ala Rumah 8. Masukkan bumbu halus nasi minyak (saya kira isinya bumbu kari dan safron)
9. Lanjut tumis. Karena agak kering, takut gosong saya beri air matang 1 liter
10. Masukkan nanas dan tomat yang sudah diblender. Kalo mau warnanya lebih cerah, boleh kasih saos tomat ya moms, saya gak.
11. Nasi Minyak Samin Khas Palembang Periuk/Liwet Ala Rumah Kami langkah memasak 10 foto
Pindahkan ke periuk, ya periuk nasi zaman dulu 🤗. Kompor nyalakan. Masukkan susu.
12. Nasi Minyak Samin Khas Palembang Periuk/Liwet Ala Rumah Kami langkah memasak 11 foto
Masukkan kismis. Masukkan beras basmati yang sudah direndam dan ditiriskan sebentar. Beras terendam. Jarak permukaan air dengan beras kira-kira sejari. Jadi moms bisa periksa. Kalau air kurang silahkan ditambah.
13. Aduk rata. Masukkan kacang mede. Masukkan garam halus
14. Aduk rata. Boleh dicicipi. koreksi rasa. Biarkan dia mengering
15. Masukkan sisa minyak samin. Aduk rata.
16. Tutup periuk, kecilkan apinya nyalanya kecil saja seperti membuat nasi liwet. Biarkan sampai nasi masak sekitar 30-40 menit, he saya maunya nasi masak banget.
17. Setelah matang dan kompor dimatikan, biarkan dan jangan dulu dibuka periuk selama 10 menit. Setelah itu baru dibuka, hm nasinya harum banget. Aduk nasi sampai bagian bawah, bisa nemu kerak tipis loh.
18. Jadi deh, tinggal disajikan dan disantap dengan malbi, ayam kojo, sate pentol, acar, sambal buncis, sambal nanas dan emping. Sedap dan kenyang. Selamat mencoba ya. (lihat resep)"
Nopia spesial,11.5,387,5.3,7.6,74.3,0.3,1.3,903,133,4.2,-,-,-,-,-,-,512,0.17,-,-,0,100,serealia,olahan,51,"Hasil: 6 porsi
Nasi putih - 6 piring
Sambal terasi - secukupnya
KENTANG BALADO:
Kentang, kupas, potong dadu - 300 gram
Petai, kupas (optional) - 1 tangkai
Daun salam - 2 lembar
Lengkuas, memarkan - 3 cm
Serai - 1 batang
Garam - 1/2 sdt
Kaldu bubuk - 1/2 sdt
Gula pasir - 1 sdt
Air - 50 ml
Minyak goreng - 3 sdm
BUMBU HALUS:
Bawang merah - 5 butir
Bawang putih - 3 siung
Cabe merah, rebus empuk - 5 buah
Cabe rawit merah, rebus empuk - 3 buah
Kemiri - 2 butir
TELUR BALADO:
Telur ayam rebus, kupas - 6 butir
Daun jeruk, buang tulangnya - 2 lembar
Daun salam - 2 lembar
Lengkuas, memarkan - 3 cm
Serai - 1 batang
Garam - 1/2 sdt
Kaldu bubuk - 1/2 sdt
Gula pasir - 1 sdt
Air - 100 ml
Minyak goreng - 3 sdm
BUMBU HALUS:
Bawang merah - 5 butir
Bawang putih - 3 siung
Cabe merah, rebus empuk - 5 buah
Cabe rawit merah, rebus empuk - 3 buah
Kemiri - 2 butir
OSENG BUNCIS:
Buncis, potong memanjang / serong - 200 gram
Wortel, potong kecil memanjang - 50 gram
Bawang merah, iris tipis - 4 butir
Bawang putih, iris tipis - 2 siung
Tomat ukuran sedang, potong potong - 1 buah
Cabe merah, iris serong - 3 buah
Cabe hijau, iris serong - 2 buah
Daun salam - 1 lembar
Lengkuas - 2 cm
Garam - 1 sdt
Kaldu bubuk - 1/2 sdt
Gula merah sisir - 1 sdt
Air - 200 ml
Minyak - 2 sdm
BIHUN GORENG KAMPUNG:
Bihun kering - 125 gram
Kol, dirajang - 3 lembar
Wortel, potong korek api - 50 gram
Daun bawang, rajang halus - 1 batang
Minyak goreng - 2 sdm
Kecap manis - 3 sdm
Kecap asin - 1 sdm
Saus tiram - 1 sdm
Kaldu ayam bubuk - 1/2 sdt
Garam - 1/4 sdt
BUMBU HALUS:
Bawang putih - 3 siung
Ebi, seduh dengan air panas - 1 sdt
Merica butiran - 1/2 sdt
","1. Kentang Balado: Goreng kentang sampai matang dan empuk, angkat dan sisihkan. Panaskan minyak, tumis bumbu halus, salam, serai dan lengkuas sampai harum. Masukkan petai, air, bumbui dengan garam, gula pasir dan kaldu bubuk. Masak sampai mendidih. Masukan kentang yang sudah digoreng, aduk merata rata, masak sampai bumbu meresap dan air habis.
2. Telur Balado: Goreng telur rebus sampai berkulit, angkat, sisihkan. Panaskan minyak, tumis bumbu halus, daun jeruk, salam, serai dan lengkuas sampai harum. Tambahkan air, bumbui dengan garam, gula pasir dan kaldu bubuk, masak sampai mendidih. Masukkan telur, masak sampai meresap dan air menyusut sambil terus diaduk rata.
3. Oseng Buncis: Panaskan minyak, tumis bawang merah dan bawang putih sampai harum. Kemudian masukkan cabe merah, cabe hijau, tomat, daun salam dan lengkuas, aduk rata sampai bumbu matang. Masukkan wortel, aduk sebentar. Masukkan buncis, aduk sampai mulai layu. Tambahkan air, bumbui dengan garam, gula merah dan kaldu bubuk. Masak sampai matang dan kuah terserap semua.
4. Bihun Goreng Kampung: Didihkan air, rebus bihun sampai lunak, tiriskan. Panaskan minyak, tumis bumbu halus sampai harum, masukkan wortel dan irisan kol, masak sampai setengah matang sambil terus diaduk. Tambahkan saus tiram, kecap manis dan kaldu bubuk, aduk rata. Masukkan bihun, aduk hingga semua bumbu rata dan meresap. Masukkan irisan daun bawang, aduk sebentar, angkat.
5. Siapkan nasi yang sudah ditata di atas piring, tata telur balado, oseng buncis, balado kentang, dan bihun dengan rapi di setiap sisinya. Sajikan dengan sambal terasi."
Onde-onde,27.7,336,4.0,9.8,57.9,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,52,"Hasil: 12 buah
Bahan Isi:
8 Sdm tepung terigu (∆ Biru) disangrai
1 Sdm Gula halus
1 Sdm susu kental manis (SKM)
1 Sdm butter/margarin (Palmia Royal)
3 buah Gula Jawa
3 Sdm air matang
Bahan Kulit:
10 Sdm tepung terigu
1 Sdm Gula halus
3 Sdm Minyak goreng
8 Sdm air matang
Sejumput garam","1. Campurkan semua bahan isi, aduk rata, uleni sampai bisa dipulung, kemudian bagi menjadi 12 bagian (sesuai selera), lalu bulat-bulat.
2. Untuk bahan kulit, campurkan terigu, gula dan garam, kemudian beri minyak dan air. Aduk semua bahan, uleni sampai kalis. Setelah kalis, bagi adonan menjadi 12 bagian.
3. Pipihkan adonan kulit kemudian gulung, pipihkan lagi lalu beri isian. Tutup isian dan bulatkan adonan.
4. Setelah semua selesai dibulatkan, panggang dalam oven/teflon yg sudah dipanaskan terlebih dahulu. Panggang dengan api kecil, agar matang secara merata dan tidak cepat gosong. Tunggu sampai Mino mengeras/kering kulitnya. Karena saya menggunakan teflon, jadi kuenya saya balik supaya matangnya merata atas dan bawah.
5. Setelah matang, matikan api biarkan di teflon sebentar, baru kemudian dinginkan Mino, setelah Mino dingin, Mino siap dihidangkan."
Padamaran,67.6,171,3.9,8.9,18.8,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,53,"Hasil: 25 Pcs
Tepung ketan - 250 gram
Kentang kukus, haluskan - 50 gram
Gula pasir - 50 gram
Garam - 1/2 sdt
Air hangat - 175 ml
Air matang, untuk pelapis - secukupnya
Wijen, untuk pelapis - secukupnya
Minyak goreng, untuk menggoreng - secukupnya
ISIAN:
Kacang hijau kupas, rendam 1 jam - 100 gram
Santan - 150 ml
Gula pasir - 50 gram
Daun pandan, simpulkan - 1 lembar
Garam - 1/2 sdt
","CARA MEMBUAT ISIAN
1. Kukus kacang hijau selama 20 menit. Angkat.

2. Blender kacang hijau bersama santan, gula pasir, dan garam.

3. Tuang hasil blender ke dalam wajan. Nyalakan api lalu masak sambil diaduk hingga kalis. Angkat. Biarkan dingin lalu bagi isian jadi 25 buah. Bulatkan masing-masingnya. Sisihkan.

CARA MEMBUAT ONDE ONDE
1. Dalam wadah, campur tepung ketan, kentang halus, gula pasir, dan garam. Aduk rata.

2. Tuangkan air hangat sedikit demi sedikit sambil diuleni hingga adonan dapat dibentuk.

3. Siapkan biji wijen dan air matang dalam 2 mangkuk terpisah. Sisihkan.

4. Ambil 1 sdm adonan lalu pipihkan. Beri 1 bulatan isian kacang hijau. Tutup dan bulatkan hingga jadi bulat. Celupkan cepat onde onde dalam air lalu gulingkan ke biji wijen hingga tertutup rata permukaannya.

5. Panaskan banyak minyak. Goreng onde-onde dengan api kecil, sambil diaduk-aduk hingga matang kecoklatan. Angkat dan tiriskan.

6. Siap disajikan.

TIPS
1. Saat menguleni adonan kulit, tuang air hangat perlahan sedikit demi sedikit. Jika adonan masih terasa padat, tambahkan air sedikit demi sedikit menggunakan sendok."
Pastel,38.3,307,4.5,13.3,42.4,-,1.5,296,53,2.5,-,-,-,-,0,-,5360,0.15,-,-,0,100,serealia,olahan,54,"Hasil: 7 buah (cup)
175 gr tepung beras
75 gr tepung terigu
1200 ml santan
Sejumput garam
Pasta pandan
sisir Isian:gula pasir dan gula merah
sisir Topping:gula merah","1. Campur tepung terigu,tepung beras,garam dan santan.aduk2 sampe licin Tdk ad yg bergerindil.saring bila perlu
2. Beri pasta pandan secukupnya,aduk2
3. Tata cup aluminium foil,beri gula merah sisir dan gula pasir.tuang adonan,lalu kukus hingga matang,kira2 7menit
4. Buka tutup kukusan,beri toping gula merah sisir,tutup LG sebentar agar gula merah leleh.matikan kompor dan sajikan.dimakan hangat lebih nikmat🤤"
Pulut,49.1,216,2.6,3.1,44.4,-,0.8,6,70,3.8,100,22.0,0.40,1.3,0,0,-,0.14,-,-,-,100,serealia,olahan,56,"Hasil: 16 porsi
16 kulit pangsit bentuk bulat
150 gr daging cincang
1 sdt merica
2 siung bawang putih
2 sdm gula pasir
30 gr wortel
1 btr telur rebus
1 bks Mayumi®
700 ml minyak goreng
1 btr Telur kocok (untuk melekatkan adonan)
","1. Potong wortel ukuran dadu kecil, cincang bawang putih, potong telur rebus menjadi 16 bagian, sisihkan
2. Panaskan 2 sdm minyak goreng; tumis bawang putih, daging sapi cincang, wortel, merica dan gula pasir hingga matang, angkat, sisihkan
3. Ambil wadah, campur tumisan daging dan 3/4 Mayumi®, aduk rata
4. Siapkan kulit pangsit, isi dengan adonan, lalu beri irisan telur rebus, rekatkan kedua sisinya menggunakan kocokan telur, lalu cetak menggunakan cetakan pastel. Lakukan hingga adonan habis
5. Panaskan minyak, lalu goreng pastel hingga matang dan kuning kecoklatan, angkat dan sajikan."
Pundut nasi,77.8,104,1.9,4.1,15.1,0.4,1.1,26,100,1.5,74,174.0,0.00,0.0,-,-,-,-,-,-,-,100,serealia,olahan,57,"Hasil: 4 porsi
250 gr ketan putih
250 gr santan (sy pakai kara sachet @65 gr)
air sedikit/secukupnya
1,5-2 sdm gula
daun pandan
sedikit garam","1. Cuci bersih beras ketan, rendam dalam air sekitar 2 jam. Setelah itu, saring airnya, masak ketan dgn santan beberapa saat, beri sedikit air, diberi garam secukupnya, beri gula, aduk² hingga merata, campur daun pandan agar wangi. Saya merebus/memasak ketan tahap ini di magic com. Jangan lupa dirasa jika manis atau asinnya sdh pas 😉
2. Setelah matang (biasanya matang sekitar 80%), pindahkan ketan ke dalam panci kukusan. Kukus ketan selama beberapa saat hingga matang sempurna. Lalu angkat, siap disajikan dengan unti kelapa parut putih 🥥🥄
3. Untuk kelapa parut, bisa dikukus atau tidak. Kedua²nya enak dipasangkan dgn ketan ini. Beri taburan garam secukupnya pada parutan kelapa, lalu balur sbg topping ketan putihnya. "
Putri hijau,54.8,189,5.4,2.1,37.2,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,58,"Hasil: 6 bungkus
Pundut :
200 g beras banjar
450 ml Santan kekentalan sedang
1/4 sdt garam
Sambal masak habang :
50 g cabe merah kering
6 butir bawang merah
4 siung bawang putih
0,5 cm jahe
1 sdt garam
1/2 bulatan kecil gula merah
1 sdm gula pasir
1/2 sdt kaldu ayam bubuk
2 sdm air asam Jawa
3 cm kayu manis
50 ml minyak goreng
Secukupnya air
Lainnya
Daun pisang potong 20 cm
Tusuk gigi","1. Cuci bersih daun pisang kemudian kukus 3 menit. Atau cukup sampai lemas saja. Sisihkan.
2. Cuci bersih beras, kemudian tiriskan.
3. Dalam panci didihkan santan bersama dengan garam. Tunggu hingga hangat.
4. Siapkan cetakan pembungkus dari kardus yang dibentuk seperti segitiga.
5. Ambil 2 lembar daun pisang, letakkan cetakan di tengah-tengah bentuk bungkusan.
6. Ambil 2 sdm mujung beras, masukkan ke dalam daun pisang.
7. Tambahkan 4 sendok sayu santan ke dalam beras. Kemudian bungkus. Saya menggunakan sendok sayur kecil.
8. Beri sobekan daun pisang pada bagian luar bungkusan kemudian sematkan tusuk gigi. Potong bagian ujung daun pada bungkusan agar rapi. Sisihkan.
9. Kukus pundut selama 45 menit dengan api besar.
10. Untuk sambal. Pertama buang biji cabe, kemudian rebus selama 5 menit, tiriskan.
11. Blender hingga halus cabe kering yang sudah direbus, bawang merah, bawang putih, dan jahe dengan sedikit air.
12. Panaskan minyak goreng. Masukkan bumbu halus, kayumanis, gula, garam, dan air asam Jawa. Masak hingga meletup-letup dan berminyak sambil terus diaduk. Matikan api kompor.
13. Sajikan pundut nasi dengan sambal masak habang"
Putri selat,66.6,163,2.2,6.5,23.8,-,0.9,72,3,4.0,6,68.0,-,-,0,0,-,-,-,-,-,100,serealia,olahan,59,"Hasil: 21 potong
20 butir telur ayam
500 g gula pasir
100 ml air perasan daun pandan dari 30 lembar daun pandan
Aduk rata, saring:
200 g tepung terigu berprotein sedang, ayak
50 ml air panas
500 ml santan kental dari 1 butir kelapa parut","1. Siapkan loyang segi empat ukuran 22x22x5 cm.  Alasi bagian dasar loyang dengan daun pisang dan olesi permukaannya dengan minyak hingga merata. Sisihkan.
2. Kocok telur dan gula hingga tercampur rata.  Tambahkan air daun suji, aduk rata.
3. Tuang adonan ke dalam loyang.  Kukus dalam dandang panas selama 30 menit hingga setengah matang.  Angkat. Tuangkan campuran santan di atas adonan hijau. Ratakan.
4. Kukus kembali dalam dandang panas selama 30 menit hingga matang.  Angkat.  Dinginkan.
5. Potong-potong bentuk kotak ukuran 3 x 3 cm. Sajikan."
