,nama_makanan,air,energi,protein,lemak,karbo,serat,abu,kalsium,fosfor,besi,natrium,kalium,tembaga,seng,retinol,b_kar,kar_total,thiamin,riboflavin,niasin,vit_c,bdd,kategori,jenis_bahan,id_resep,bahan_bahan,langkah,bahan_stemmed
192,"ceriping getuk
singkong",7.2,462,1.2,20.7,67.7,0.6,3.2,1248,172,8.8,0,0,0,0,0,0,152.0,0.29,0.02,0.5,0,100,umbi berpati,olahan,73,"hasil: 2-3 porsi
secukupnya singkong
5 sdm tepung maizena
1 sdm bubuk oregano
2 sdm kaldu jamur
3 siung bawang putih
secukupnya lada bubuk","1. rebus singkong lalu haluskan.
2. ulek bawang putih dan garam.
3. campurkan singkong, tepung, bumbu dan oregano. aduk rata.
4. bentuk adonan hingga kalis.
5. bentuk memanjang seperti korek atau stick.
6. goreng dengan api sedang hingga kecoklatan lalu angkat.
7. siap disajikan
","['hasil', 'porsi', 'singkong', 'sdm', 'tepung', 'maizena', 'sdm', 'bubuk', 'oregano', 'sdm', 'kaldu', 'jamur', 'siung', 'bawang', 'putih', 'lada', 'bubuk']"
193,gatot,12.8,347,1.3,0.7,83.8,5.8,1.4,78,44,17.1,28,242.0,0.20,0.7,0,0,0.0,0.02,0.10,0.4,0,100,umbi berpati,olahan,74,"1 kg singkong
¹/² kg gula pasir
¹/⁴ sdt garam
5 siung bawang putih haluskan
minyak goreng","1. bersihkan singkong diair yg menglir,potong dadu lalu kukus hngg matang
2. haluskan singkong(bhsa boyolali ny dijojoh)sampai lembut lalu masukan semua bahan
3. bentuk sesuai selera(lw saya masukan ke loyang)
4. dinginkan selama 5 jam,iris tipis"" lalu panaskan disinar matahari langsung kurang lebih 3 jam
5. buat bumbu untuk celupan: garam 1 sdm n bawang putih 3,haluskan lalu masukan irisan gethuk
6. goreng hingg brbah warna. #bisa ditaburi royko jika kurang asin","['kg', 'singkong', 'kg', 'gula', 'pasir', 'sdt', 'garam', 'siung', 'bawang', 'putih', 'halus', 'minyak', 'goreng']"
194,geblek,52.1,195,0.4,1.7,44.4,3.6,1.4,35,13,0.6,353,125.0,0.30,0.3,0,0,0.3,0.02,0.00,0.1,0,100,umbi berpati,olahan,75,"hasil: 3-4 porsi
1 kg singkong sekitar bener² kerinh di rendem air selama 3hari
jangan lupa tiap hari air diganti 2-3kali
secukupnya garam
200 gr tepung tapioka
1/4 kelapa muda","1. rendem singkong kering selama 3 hari
2. jangan lupa selalu cuci ganti air rendaman supaya tidak bau
3. ambil singkong rendeman dan di deplok sampai bener2 lembut
4. sisihkan ke ember diuleni sama tepung tapioka dan garam secukupnya
5. kukus selama 30 menit
6. parut kelapa muda dan taruh atas gatot yg sudah mateng
7. gatot singkong siap saji","['hasil', 'porsi', 'kg', 'singkong', 'bener', 'kerinh', 'rendem', 'air', 'lupa', 'air', 'ganti', 'garam', 'gr', 'tepung', 'tapioka', 'kelapa', 'muda']"
195,getuk goreng,16.5,360,1.3,6.4,74.3,0.8,1.5,59,81,3.2,0,0,0,0,0,0,0.0,0.21,0,0.1,0,100,umbi berpati,olahan,76,"hasil: 4 porsi
500 gram singkong segar parut
3 butir bawang putih
1 sdt garam
secukupnya air","1. kupas dan cuci bersih singkong. parut singkong sampai habis beri sedikit air lalu peras, jemur air perasnnya dibawah terik matahari hingga kering (air menguap)
2. haluskan bawang putih dan garam lalu campurkan pada ampas singkong tadi. aduk rata dan kukus hingga matang (15 menit dr air mendidih). lalu campurkan dengan tepung dari hasil perasaan singkong tadi.
3. uleni adonan tadi. lalu bentuk seperti angka delapan atau bulat. goreng dalam minyak banyak dengan api kecil agar mengembang..
4. sajikan hangat buat camilan, colekin gochujang sauce atau cuko pempek.","['hasil', 'porsi', 'gram', 'singkong', 'segar', 'parut', 'butir', 'bawang', 'putih', 'sdt', 'garam', 'air']"
196,getuk singkong,49.8,204,0.5,1.4,47.4,0.8,1.1,97,52,1.5,0,0,0,0,0,0,208.0,0.08,0,0.1,0,100,umbi berpati,olahan,77,"hasil: 1 kg
singkong, kupas - 600 gram
gula merah, sisir halus - 250 gram
santan matang (opsional) - 50 ml
garam - 1 sdt
vanili - 1 sdt
minyak untuk menggoreng - secukupnya
pencelup:
tepung beras - 2 sdm
maizena - 1 sdm
air - 100 ml
","1. kukus singkong hingga matang. angkat dan haluskan selagi hangat.
2. dalam wadah, campurkan adonan singkong yang sudah halus dengan gula merah, garam, dan vanili. uleni hingga rata.
3. tuangkan santan. lanjutkan uleni hingga tercampur rata. diamkan selama 15 menit. campur gula merah, garam, vanili ke adonan singkong yang sudah halus. uleni rata. tambahkan santan dan uleni lagi hingga tercampur rata. diamkan 15 menit.
4. dalam wadah, campurkan semua bahan pencelup lalu aduk rata. sisihkan.
5. dalam wajan, panaskan banyak minyak.
6. ambil sedikit adonan getuk lalu asal bulat-bulatkan (tidak perlu rapi dan berukuran sama). celupkan dalam adonan pencelup, lalu goreng dalam minyak panas. lakukan hingga adonan habis.
7. goreng hingga kuning kecoklatan. angkat dan tiriskan.
8. siap disajikan.","['hasil', 'kg', 'singkong', 'kupas', 'gram', 'gula', 'merah', 'sisir', 'halus', 'gram', 'santan', 'matang', 'opsional', 'ml', 'garam', 'sdt', 'vanili', 'sdt', 'minyak', 'goreng', 'celup', 'tepung', 'beras', 'sdm', 'maizena', 'sdm', 'air', 'ml']"
197,gurandil,47.5,218,0.5,2.5,48.5,3.1,1.0,50,25,2.8,0,0,0,0,0,0,0.0,0.19,0,0,0,100,umbi berpati,olahan,78,"hasil: 10 porsi
500 gr singkong
200 gr kelapa parut setengah tua
200 gula merah/aren (sesuai selera)
1 bks vanili bubuk
1/2 sdt garam","1. siapkan semua bahan yang diperlukan, kupas singkong cuci bersih potong"" kecil kukus sampai empuk
2. setelah singkong empuk angkat taruh dalam wadah tumbuk halus selagi masih panas dengan gula merah, garam dan vanili bubuk hingga tercampur rata
3. koreksi rasa jika sudah pas pindahkan dalam wadah datar lalu ratakan potong"" sesuai selera lumuri dengan kelapa parut yang sebelumnya sudah dikukus nikmati selagi masih hangat","['hasil', 'porsi', 'gr', 'singkong', 'gr', 'kelapa', 'parut', 'tua', 'gula', 'meraharen', 'sesuai', 'selera', 'bks', 'vanili', 'bubuk', 'sdt', 'garam']"
198,kabuto,58.9,250,2.6,2.5,35.4,1.8,0.6,35,49,1.1,2,218.0,0,0,0,0,0.0,0.10,0.10,0.6,0,100,umbi berpati,olahan,79,"hasil: 4 porsi
bahan biang:
tepung tapioka - 50 gram
air - 150 ml
garam - 1/4 sdt
bahan utama:
tepung tapioka - 175 gram
pewarna makanan - secukupnya
taburan:
kelapa sedang, parut - 100 gram
garam - 1/2 sdt
daun pandan - 1 lembar
gula pasir, untuk taburan - 1 sdm","1. dalam panci, campur semua bahan biang dan aduk rata. rebus larutan sambil terus diaduk-aduk hingga mendidih dan mengental seperti lem. matikan api dan biarkan hangat.
2. masukkan tepung tapioka sedikit demi sedikit sambil diuleni hingga adonan bisa dipulung.
3. bagi adonan jadi 4 bagian. beri masing-masing pewarna makanan yang berbeda. uleni kembali hingga adonan jadi berwarna yang rata.
4. pulung adonan jadi sebesar jari kelingking dengan kedua ujung mengerucut, atau bentuk lain sesuai selera.
5. dalam panci, didihkan air. rebus cenil yang sudah dibentuk hingga mengapung dan matang. angkat dan tiriskan.
6. bahan taburan: campur kelapa dan garam hingga rata. kukus bersama daun pandan selama 10 menit.
7. penyelesaian: gulingkan cenil ke kelapa parut taburan, lalu taburi dengan gula pasir.
8. siap disajikan.","['hasil', 'porsi', 'bahan', 'biang', 'tepung', 'tapioka', 'gram', 'air', 'ml', 'garam', 'sdt', 'bahan', 'utama', 'tepung', 'tapioka', 'gram', 'warna', 'makan', 'tabur', 'kelapa', 'parut', 'gram', 'garam', 'sdt', 'daun', 'pandan', 'lembar', 'gula', 'pasir', 'tabur', 'sdm']"
199,kapurung,79.6,41,2,0.3,7.8,2.0,0.6,34,12,0.3,185,566.0,0.10,0.3,0,213,0,0.12,0.25,2.7,15,100,umbi berpati,olahan,80,"hasil: 500 gram
500 gr kakombo (singkong yg sdh dikeringkan, khas muna)
kelapa muda parut
secukupnya garam
gula pasir/ gula merah (bila suka manis)
ikan asin (goreng)","1. kakombo di potong kecil2 lalu direndam air selama 8 jam (agar singkong lembek dan kenyal)
2. tiriskan kakombo yang sudah direndam
3. siapkan panci kukusan lalu kakombo dikukus selama 15-20 menit (bila suka manis, kakombo bisa dikukus bersama gula merah)
4. jika sudah matang tambahkan sedikit garam lalu dikeluarkan dari panci
5. kabuto (kakombo yg telah matang) disajikan dipiring bersama parutan kelapa muda dan ikan asin goreng. 😀makanan siap dihidangkan 😀","['hasil', 'gram', 'gr', 'kakombo', 'singkong', 'kering', 'khas', 'muna', 'kelapa', 'muda', 'parut', 'garam', 'gula', 'pasir', 'gula', 'merah', 'suka', 'manis', 'ikan', 'asin', 'goreng']"
200,"kecimpring singkong
goreng",3.7,464,1.2,18.6,73,1.3,3.5,82,52,3.4,0,0,0,0,0,0,3320.0,0.34,0,0,0,100,umbi berpati,olahan,81,"hasil: 6 porsi
adonan sagu:
tepung sagu - 150 gram
air - 450 ml
ikan masak kuning:
ikan cakalang, potong jadi 3 bagian - 1 ekor
air asam - 50 ml
garam - 1/4 sdt
kunyit bubuk - 1/4 sdt
air - 100 ml
sayur:
jagung, pipil bijinya - 3 buah
kacang panjang, potong-potong - 5 batang
bayam, petik daunnya - 2 ikat
air - 1 liter
bumbu halus:
cabai rawit - 10 buah
terasi udang, bakar - 1 bungkus
kacang tanah, sangrai - 1 genggam
fillet ikan cakalang - secukupnya
pelengkap:
udang, rebus hingga matang - 10 ekor
jeruk nipis, ambil air perasannya - 3 buah
garam - 1 sdt
penyedap rasa, opsional - 1/2 sdt
","cara membuat adonan sagu (kapurung)
1. dalam wadah, campur tepung sagu dengan 300 ml air. aduk rata lalu sisihkan.

2. panaskan 150 ml sisa air hingga mendidih.

3. masukkan larutan sagu ke dalam air mendidih, lalu aduk terus hingga mengental dan adonan menyerupai lem. matikan api.

4. siapkan 500 ml air matang dalam wadah.

5. bulat-bulatkan adonan sagu dengan menggunakan 2 buah sumpit atau tusuk sate, lalu masukkan dalam wadah air.

cara membuat ikan masak kuning
1. dalam wadah, lumuri ikan dengan air asam, garam, dan kunyit hingga merata.

2. tambahkan air, lalu masak ikan hingga matang. angkat.

3. ambil ikan lalu fillet dagingnya. sisihkan dan satukan bersama bumbu halus lainnya.

4. sisihkan kuahnya.

cara membuat sayur
1. dalam panci, didihkan air.

2. masukkan jagung, lalu biarkan masak hingga setengah matang.

3. masukkan kacang panjang. masak hingga empuk.

4. masukkan bayam. masak hingga matang. matikan api.

penyajian
1. dalam wadah besar, tuang adonan sagu yang sudah dibulat-bulatkan beserta airnya.

2. tuang sayur beserta airnya, bumbu halus, kuah ikan masak kuning, udang, air perasan jeruk nipis, garam, dan penyedap rasa. aduk rata lalu koreksi rasanya.

3. siap disajikan.","['hasil', 'porsi', 'adon', 'sagu', 'tepung', 'sagu', 'gram', 'air', 'ml', 'ikan', 'masak', 'kuning', 'ikan', 'cakalang', 'potong', 'ekor', 'air', 'asam', 'ml', 'garam', 'sdt', 'kunyit', 'bubuk', 'sdt', 'air', 'ml', 'sayur', 'jagung', 'pipil', 'biji', 'buah', 'kacang', 'potongpotong', 'batang', 'bayam', 'petik', 'daun', 'ikat', 'air', 'liter', 'bumbu', 'halus', 'cabai', 'rawit', 'buah', 'terasi', 'udang', 'bakar', 'bungkus', 'kacang', 'tanah', 'sangrai', 'genggam', 'fillet', 'ikan', 'cakalang', 'lengkap', 'udang', 'rebus', 'matang', 'ekor', 'jeruk', 'nipis', 'ambil', 'air', 'peras', 'buah', 'garam', 'sdt', 'sedap', 'opsional', 'sdt']"
201,keremes,6.7,475,1.6,25.2,64.4,2.1,2.1,153,88,1.0,0,0,0,0,0,0,1000.0,0.00,0,0,0,100,umbi berpati,olahan,82,"hasil: 10 buah
1/2 kg singkong
3 batang daun bawang
1/2 sdt garam halus
bumbu halus:
1 siung bawang putih
1 sdt ketumbar
daun pisang 10 lembar/potong kecil","1. kupas singkong, cuci bersih lalu parut.
2. peras singkong menggunakan kain bersih. ambil aci singkong (endapan dari air singkong) campur ke singkong yg diperas tadi.
3. haluskan bumbu, campur ke singkong. tambah daun bawang dan garam, aduk rata.
4. ambil singkong ratakan diatas daun pisang. seperti pada gambar. lakukan hingga selesai.
5. panaskan kukusan, masukkan singkong. kukus sampai singkong terlihat bening.
6. angkat, tata di atas tampah, lalu jemur. kalau sudah setengah kering kelupas singkong dari daun pisang, jemur lagi sampai kering.
7. kalau sudah kering tinggal digoreng.
8. enak buat cemilan saat gabut, anakku suka banget😄. asin gurih kriukk kriuukk...","['hasil', 'buah', 'kg', 'singkong', 'batang', 'daun', 'bawang', 'sdt', 'garam', 'halus', 'bumbu', 'halus', 'siung', 'bawang', 'putih', 'sdt', 'ketumbar', 'daun', 'pisang', 'lembarpotong']"
202,keripik gadung,4,446,2.8,14.5,76,1.7,2.8,147,52,1.9,0,0,0,0,0,0,0.0,0.95,0,0,0,100,umbi berpati,olahan,83,"hasil: 1 toples besar
350 ml air ungkepan ayam (disaring dulu ya)
125 gr tepung sagu
30 gr tepung beras
1 butir telur
1/2 sdt baking powder
minyak untuk menggoreng","1. aduk semua bahan jadi satu sampai rata.
2. panaskan minyak. tuang adonan secukupnya. tuang diatas minyak agak tinggi kurleb 30cm diatas minyak.
3. tunggu sebentar, kemudian kumpulkan adonan.
4. kemudian lipat adonan.
5. goreng sampang kuning keemasan. angkat dan letakkan diatas tisu serap minyak. kemudian simpan dalam toples kedap udara. toplesnya alasi tisu serap minyak juga ya.","['hasil', 'toples', 'ml', 'air', 'ungkepan', 'ayam', 'saring', 'gr', 'tepung', 'sagu', 'gr', 'tepung', 'beras', 'butir', 'telur', 'sdt', 'baking', 'powder', 'minyak', 'goreng']"
203,keripik kentang,7.8,448,2.7,18.8,67.1,3.8,3.6,25,130,1.2,712,406.0,1.10,0,0,15,0,0.10,0.05,2.8,0,100,umbi berpati,olahan,84,"hasil: 1 toples
1/2 kg gadung kering
1 bks royko
secukupnya minyak untuk menggoreng","1. panaskan minyak sampai benar2 panas
2. goreng gadung sampai mengembang
3. angkat dan tiriskan
4. kemudian beri taburan bumbu royko atau sesuai selera","['hasil', 'toples', 'kg', 'gadung', 'kering', 'bks', 'royko', 'minyak', 'goreng']"
204,keripik singkong,4.2,478,0.9,20.7,72,2.0,2.2,189,101,1.9,0,0,0,0,0,0,0.0,0.24,0,0,0,100,umbi berpati,olahan,85,"hasil: 1 toples sedang
2 kg kentang kualitas bagus
2 sdm garam
minyak goreng","1. kupas kentang, cuci bersih, kemudian iris tipis/parut. dengan parutan kentang, bisa menghasilkan kentang yang tipisnya merata. jangan lupa rendam kentang di air agar warna tidak menghitam.
2. sambil mengiris kentang, didihkan air. masukkan kentang yang sudah diiris, tambahkan garam. aduk perlahan agar garam merata. rebus 2 menit saja.
3. segera tiriskan kentang setelah 2 menit.
4. panaskan minyak goreng, goreng kentang yang sudah tiris. gunakan api sedang cenderung besar. setelah agak kecokelatan, kecilkan api sambil kentang dibolak-balik.
5. angkat kentang setelah kecokelatan. tiriskan. kentang renyah, gurih, asin, siap jadi teman santai 🙂","['hasil', 'toples', 'kg', 'kentang', 'kualitas', 'bagus', 'sdm', 'garam', 'minyak', 'goreng']"
205,"keripik singkong
berbumbu",2.2,481,2.2,19.7,73.6,1.6,2.3,156,103,1.6,0,0,0,0,0,0,80.0,0.31,0,0,0,100,umbi berpati,olahan,86,"hasil: 2 toples
singkong - 1 kg
minyak untuk menggoreng - 1 liter
garam - secukupnya","1. kupas singkong lalu cuci sampai bersih, tiriskan.
2. iris tipis singkong, tebalnya harus sama. jika tidak, singkong tidak akan matang merata.
3. goreng singkong dengan minyak banyak dan api sedang, tiriskan.
4. setelah dingin, taburi garam, ayak. siap disajikan.","['hasil', 'toples', 'singkong', 'kg', 'minyak', 'goreng', 'liter', 'garam']"
206,keripik ubi,6,486,0.2,23.9,67.6,14.3,2.3,68,92,0.9,52,2.0,0.70,2.3,0,920,0,0.10,0.10,0.5,0,100,umbi berpati,olahan,87,"hasil: 1 toples ukuran sedang
singkong - 500 gram
garam - 1 sdt
minyak goreng - secukupnya
air, untuk merendam - secukupnya
bumbu:
cabai merah besar - 10 buah
cabai rawit - 5 buah
bawang putih - 3 siung
gula merah, sisir - 2 sdm
gula pasir - 2 sdm
air asam jawa - 2 sdm
garam - 1/4 sdt
air - 50 ml
","1. kupas singkong, cuci bersih kemudian potong tipis dengan slicer atau pisau. rendam dengan air yang sudah diberi garam sampai semua terendam. diamkan 15 menit, kemudian tiriskan.
2. goreng singkong dalam minyak panas sampai kuning kecoklatan, angkat dan tiriskan.
3. haluskan bumbu: cabai merah, cabai rawit, bawang putih, gula merah. gunakan food chopper supaya cabai benar-benar halus. kemudian tumis dengan sedikit minyak, tambahkan air, gula pasir dan air asam jawa. masak hingga bumbu mengental.
4. masukkan singkong yang sudah digoreng, aduk rata hingga semua permukaan terbalut bumbu. matikan api.
5. dinginkan, setelah itu simpan di toples kedap udara.","['hasil', 'toples', 'ukur', 'singkong', 'gram', 'garam', 'sdt', 'minyak', 'goreng', 'air', 'rendam', 'bumbu', 'cabai', 'merah', 'buah', 'cabai', 'rawit', 'buah', 'bawang', 'putih', 'siung', 'gula', 'merah', 'sisir', 'sdm', 'gula', 'pasir', 'sdm', 'air', 'asam', 'jawa', 'sdm', 'garam', 'sdt', 'air', 'ml']"
207,kerupuk cumi goreng,3.4,444,6.9,14.6,71.3,5.0,3.8,47,375,1.8,837,191.0,0.10,0.3,0,0,0,0.40,0.10,1.8,0,100,umbi berpati,olahan,88,"hasil: 1 toples
1 kg ubi
1 sdm soda kue
air untuk merendam
minyak untuk menggoreng","1. kupas ubi, cuci bersih.
2. serut ubi, atau iris tipis ubi dengan pisau.
3. cuci bersih irisan ubi hingga getah hilang. (saya 3 kali cuci bilas)
4. rendam ubi, taburkan 1 sdm soda kue, aduk-aduk, diamkan hingga 30 menit.
5. tiriskan ubi, goreng di minyak panas dan banyak hingga garing.
6. dinginkan, simpan dalam wadah tertutup.","['hasil', 'toples', 'kg', 'ubi', 'sdm', 'soda', 'kue', 'air', 'rendam', 'minyak', 'goreng']"
208,"kerupuk kemplang
(ikan) mentah",14.2,325,1.8,0.4,78.5,4.5,5.1,59,268,2.3,1123,273.0,0.20,0.5,32,0,0,0.60,0.10,2.3,0,100,umbi berpati,olahan,,"150 gram kanji
200 gram daging cumi-cumi dan tinta hitam sbg warna hitam yg almi
100 gram bawang merah parut
100 gram bawang putih parut
1 btr telor
100 gram terigu protein sedang
50 gram kanji
1 liter minyak goreng
adonan dasar krupuk:
500 gram terigu protein sedang
250 gram kanji
150 gram keju cheddar
1/2 sdt garam halus
2 btr telor
100 ml air
100 gram margarin","1. campur cumi-cumi serta tinta hitam,bawang merah+putih+telor+bumbu kaldu dan garam dalam mangkok blender hingga halus seperti bubur
2. campur cumi-cumi yg halus dengan bahan dasar krupuk semua tepung trigu dqn kanji aduk rata uleni sebentar hingga kalis tidak menempel ditangan bila adonan lembek bisa tambahkan kanji sedikit
3. gilas dengan woden rolling pin(gilingan kayu) gilas setebal 3mm dan potong dengan badan botol aqua yg dipotong separuh dri atas tutupnya buat cetakan bulat..lakukan hingga selesai
4. panaskan minyak goreng lanjut dengan api sedang goreng krupuk cumi-cumi sampai matang dan angkat tiriskan.
5. masukkan dalam toples kedap udara. jadi 1toples.","['gram', 'kanji', 'gram', 'daging', 'cumicumi', 'tinta', 'hitam', 'warna', 'hitam', 'almi', 'gram', 'bawang', 'merah', 'parut', 'gram', 'bawang', 'putih', 'parut', 'btr', 'telor', 'gram', 'terigu', 'protein', 'gram', 'kanji', 'liter', 'minyak', 'goreng', 'adon', 'dasar', 'krupuk', 'gram', 'terigu', 'protein', 'gram', 'kanji', 'gram', 'keju', 'cheddar', 'sdt', 'garam', 'halus', 'btr', 'telor', 'ml', 'air', 'gram', 'margarin']"
209,"kerupuk kemplang
goreng",5.8,504,5.6,28.1,57.1,0.3,3.4,50,94,2.9,0,0,0,0,6,0,280.0,0.31,0,0,0,100,umbi berpati,olahan,89,,,[]
210,"kerupuk kemplang
panggang",9.4,356,9.7,1.1,76.9,1.0,3.0,62,129,2.9,0,0,0,0,7,0,280.0,0.36,0,0,0,100,umbi berpati,olahan,90,"hasil: 10 porsi
ikan tenggiri, ambil fillet dagingnya - 500 gram
tepung sagu - 800 gram
bawang putih, haluskan - 5 siung
garam - 3 sdm
penyedap rasa, opsional - 1 sdt
air dingin - 500 ml
","1. giling daging ikan hingga halus.
2. dalam wadah, campur gilingan daging dengan air dingin, bawang putih, garam, dan penyedap rasa. aduk rata sembari masukkan tepung sagu sedikit demi sedikit.
3. uleni adonan hingga kalis dan bentuk adonan jadi lenjeran.
4. rebus adonan selama 1 jam, lalu angkat dan tiriskan. biarkan dingin lalu iris-iris adonan dengan ketebalan sesuai selera.
5. tata adonan/kemplang di atas wadah lebar, nampan atau tampah yang telah dilapisi plastik. jemur kemplang di bawah sinar matahari hingga kering.
6. panggang kemplang di atas bara api atau oven bersuhu 150°c hingga nampak kecoklatan di kedua sisinya.
7. siap disajikan atau simpan dalam toples kedap udara.","['hasil', 'porsi', 'ikan', 'tenggiri', 'ambil', 'fillet', 'daging', 'gram', 'tepung', 'sagu', 'gram', 'bawang', 'putih', 'halus', 'siung', 'garam', 'sdm', 'sedap', 'opsional', 'sdt', 'air', 'dingin', 'ml']"
211,"kerupuk mie kuning
goreng",7.2,476,0.1,21.1,71.3,4.2,0.3,57,36,4.6,0,109.0,0.10,0.2,0,0,333.0,0.22,0.00,0.9,0,100,umbi berpati,olahan,,"hasil: 10 porsi
ikan tenggiri, ambil fillet dagingnya - 500 gram
tepung sagu - 800 gram
bawang putih, haluskan - 5 siung
garam - 3 sdm
penyedap rasa, opsional - 1 sdt
air dingin - 500 ml
","cara membuat kemplang palembang :
1. ambil adonan dasar pempek lenjer untuk kerupuk.
2. bentuk bulat seperti bola tenis untuk kemplang badak dan bola pingpong untuk kemplang biasa.
3. tekan pipihkan sehingga menjadi lempengan bundar dengan ketebalan 2-3 mm.
4. kukus sampai matang.
5. taruh lempengan satu persatu di nyuri.
6. jemur sama halnya pembuatan kerupuk.

cara memanggang kemplang :
1. kemplang tidak digoreng, tetapi dipanggang di atas bara api. tetapi boleh sajah kalau anda mau memasaknya dengan media pasir atau microwave.
2. siapkan bara api, dari arang kayu atau arang batok kelapa.
3. buat penjapit dari bambu atau kayu sepanjang 30-40 cm.
4. belah ujungnya 3-5 cm.
5. jemur kemplang terlebih dahulu.
6. jepitkan kemplang di belahan kayu/bilah tadi.
7. panggang diatas bara dengan jarak 20-30 cm, jangan terlalu dekat, karena bisa gosong dan hitam.
8. panggang dan bolak balik sampai kemplang mekar.
9. jangan lupa menggeser kemplang yg bagian terjepit keluar, agar mekar nya merata","['hasil', 'porsi', 'ikan', 'tenggiri', 'ambil', 'fillet', 'daging', 'gram', 'tepung', 'sagu', 'gram', 'bawang', 'putih', 'halus', 'siung', 'garam', 'sdm', 'sedap', 'opsional', 'sdt', 'air', 'dingin', 'ml']"
212,kerupuk udang goreng,4.4,477,4.7,20.5,68.5,5.0,1.9,24,188,0.9,449,109.0,0.10,0.2,0,0,0,0.20,0.00,0.9,0,100,umbi berpati,olahan,,,,[]
213,kue bangket,16.1,338,1.5,1.2,80.3,0,0.9,34,35,0.3,67,0.0,0.20,0.2,0,0,0.0,0.30,0.00,0.0,0,100,umbi berpati,olahan,91,,,[]
214,kue putu singkong,44.2,217,1.2,0.5,53.2,2.4,0.9,48,68,1.5,3,305.0,0,0,0,0,0.0,0.10,0.10,0.8,0,100,umbi berpati,olahan,92,"hasil: 1 porsi
500 gram tepung sagu atau tapioka
3 lembar daun pandan, potong-potong
3 butir kuning telur
250 gram gula halus, manisnya sesuai selera
1/2 sendok teh vanili bubuk
200 ml santan kental atau secukupnya sampai adonan bisa dibentuk
1/2 sendok teh garam
topping sesuai selera","1. siapkan semua bahan yang dibutuhkan untuk membuat kue bangkit.
2. sangrai terlebih dahulu tepung sagu dalam wajan dengan potongan daun pandan sampai benar-benar mengering dan tepung terasa ringan.
3. buang daun pandan nya dan dinginkan tepung dalam suhu ruang. sisihkan.
4. siapkan wadah besar dan campurkan telur, gula, dan vanili bubuk.
5. mixer adonan hingga semua bahan tercampur rata dan bertekstur creamy.
6. tambahkan tepung sagu yang telah disangrai, garam, dan tuang santan kental sedikit demi sedikit sambil aduk rata adonan menggunakan spatula.
7. baru uleni adonan menggunakan tangan hingga semua bahan tercampur dan adonan kalis atau tidak lengket.
8. jika adonan sudah kalis dan bisa dibentuk, pipihkan adonan dengan rolling pin atau alat lain. usahakan jangan terlalu tebal agar kue matang luar dalam.
9. lalu cetak dengan cetakan kue sampai semua adonan habis.
10. panaskan oven dengan suhu 150 derajat celcius dan siapkan loyang yang sudah diolesi margarin.
11. tata adonan kue bangkit di atas loyang dan jangan lupa beri jarak tiap kue.
12. beri topping sesuai selera seperti chocochips, sprinkle, atau lainnya.
13. panggang kue dalam oven sampai matang merata selama 30 menitan.
14. jika sudah matang, diamkan sebentar kue bangkit hingga agak dingin baru simpan ke dalam toples yang kedap udara.
15. kue bangkit siap disajikan","['hasil', 'porsi', 'gram', 'tepung', 'sagu', 'tapioka', 'lembar', 'daun', 'pandan', 'potongpotong', 'butir', 'kuning', 'telur', 'gram', 'gula', 'halus', 'manis', 'sesuai', 'selera', 'sendok', 'vanili', 'bubuk', 'ml', 'santan', 'kental', 'adon', 'bentuk', 'sendok', 'garam', 'topping', 'sesuai', 'selera']"
215,lanting getuk,4.2,422,0.9,10.8,80.4,1.4,3.8,206,104,3.6,0,0,0,0,0,0,0.0,0.43,0,0,0,100,umbi berpati,olahan,,"hasil: 15 buah
500 gr singkong, kupas
150 gr kelapa parut
130 gr gula pasir
1 bks agar2 plain
1/2 sdt garam
1/2 sdt pasta ananas
bahan tambahan :
secukupnya kelapa parut","1. bersihkan singkong kemudian parut dan peras airnya (saya pres dg layah)
2. campur semua bahan, aduk sampai tercampur rata
3. oles cetakan dg minyak, tata kelapa parut secukupnya didasar cetakan, timpa dg adonan sampai penuh
4. kukus kue selama 20 menit atau sampai matang, angkat
5. keluarkan kue dari cetakan, dinginkan","['hasil', 'buah', 'gr', 'singkong', 'kupas', 'gr', 'kelapa', 'parut', 'gr', 'gula', 'pasir', 'bks', 'plain', 'sdt', 'garam', 'sdt', 'pasta', 'ananas', 'bahan', 'tambah', 'kelapa', 'parut']"
216,mi golosor,82.9,71,0.2,0.8,15.9,0.1,0.2,117,5,0.2,0,0,0,0,0,0,112,0.05,0.02,0.0,0,100,umbi berpati,olahan,93,,,[]
